"scenario","interim_n","information_fraction","treatment_rate","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","mean_true_CATE"
"A_threshold",1000,0.25,0.495,-0.0117011701170117,-0.011051326116211,0.0407402439622623,-0.103360733220396,0.163545406912589,0.654,-0.0098
"A_threshold",1600,0.4,0.50625,-0.0189248320050008,-0.0184594561126787,0.0431569692395796,-0.113506670818275,0.16470224726021,0.695,-0.010125
"A_threshold",2200,0.55,0.500454545454545,-0.0065479392958176,-0.00620549812276102,0.0434317375577076,-0.122154696289521,0.164571362048667,0.590909090909091,-0.0101636363636364
"A_threshold",2800,0.7,0.502857142857143,-0.00400013061650993,-0.00377234852639979,0.0250237868515706,-0.0710210674445994,0.102086162684373,0.588214285714286,-0.0101714285714286
"A_threshold",3400,0.85,0.494411764705882,0.0010721062388762,0.00121738495037893,0.027720502696139,-0.0750096215351061,0.117280915063453,0.515294117647059,-0.0101647058823529
"A_threshold",4000,1,0.49525,0.00137637421777316,0.00175536657617486,0.0279820229941796,-0.0657633434830959,0.162192139248265,0.5195,-0.01027
"B_smooth_logistic",1000,0.25,0.486,-0.0504395446029687,-0.0501462592987556,0.00108551794735631,-0.0515240407072948,-0.0477807658842146,1,-0.0378432539487629
"B_smooth_logistic",1600,0.4,0.481875,-0.0428969943316139,-0.0427537675160082,0.00511139385468292,-0.0508870630930638,-0.0330837146259652,1,-0.0377166712521507
"B_smooth_logistic",2200,0.55,0.492272727272727,-0.0344288842541731,-0.0342455476303137,0.00557310773453426,-0.042975986448556,-0.0236543010089619,1,-0.0373208920931609
"B_smooth_logistic",2800,0.7,0.493928571428571,-0.0356506648174144,-0.0355990469380423,0.0119617833043608,-0.0556078315861366,-0.014088297839195,1,-0.0374466593120928
"B_smooth_logistic",3400,0.85,0.498529411764706,-0.0335954463273904,-0.0335554651569926,0.0110203717791512,-0.0518217635130554,-0.0135384368640894,1,-0.0373586250951043
"B_smooth_logistic",4000,1,0.4955,-0.0378965696221394,-0.0379041292752076,0.0165945774700646,-0.0662729437083056,-0.00877752793881299,1,-0.0373020988692602
