"id","X","harmed_group","treatment","outcome","p_control","p_treatment","true_CATE"
1,-2.15783000843202,0,1,0,0.1,0.1,0
2,0.262624602491902,0,0,0,0.1,0.1,0
3,-0.386676890194971,0,1,0,0.1,0.1,0
4,1.44067391441077,1,1,0,0.1,0.06,-0.04
5,-0.816303408846286,0,1,0,0.1,0.1,0
6,-1.65162532995243,0,0,0,0.1,0.1,0
7,0.379407906987762,0,0,1,0.1,0.1,0
8,-0.697574000048641,0,1,0,0.1,0.1,0
9,0.0894578348580843,0,1,0,0.1,0.1,0
10,-0.337491574719086,0,0,0,0.1,0.1,0
11,-0.866052453494144,0,1,0,0.1,0.1,0
12,-1.55520943781429,0,1,0,0.1,0.1,0
13,0.271615954996067,0,0,0,0.1,0.1,0
14,-1.72156336985557,0,0,0,0.1,0.1,0
15,0.497346776305901,0,0,1,0.1,0.1,0
16,0.895864774269119,1,0,0,0.1,0.06,-0.04
17,0.483980759182466,0,1,0,0.1,0.1,0
18,-0.591984926376802,0,0,0,0.1,0.1,0
19,0.261699282032813,0,0,0,0.1,0.1,0
20,-1.22220671705925,0,0,0,0.1,0.1,0
21,-1.83430679028504,0,0,0,0.1,0.1,0
22,1.43717741714836,1,1,0,0.1,0.06,-0.04
23,0.821306973755994,1,0,0,0.1,0.06,-0.04
24,0.215319856984302,0,0,0,0.1,0.1,0
25,-1.17519273939143,0,1,0,0.1,0.1,0
26,2.11243492908281,1,0,1,0.1,0.06,-0.04
27,1.09519712017616,1,0,0,0.1,0.06,-0.04
28,0.572350023793888,0,0,0,0.1,0.1,0
29,1.84778947460345,1,1,0,0.1,0.06,-0.04
30,-0.762108227132698,0,0,0,0.1,0.1,0
31,0.154475342917118,0,1,0,0.1,0.1,0
32,-2.09719175580635,0,0,0,0.1,0.1,0
33,-0.594463549807673,0,1,0,0.1,0.1,0
34,-0.169894244804135,0,0,0,0.1,0.1,0
35,0.254732107584999,0,0,0,0.1,0.1,0
36,-0.222387992304802,0,1,0,0.1,0.1,0
37,-1.02101680814515,0,1,0,0.1,0.1,0
38,-0.0685653802157388,0,0,0,0.1,0.1,0
39,0.110230797610083,0,0,0,0.1,0.1,0
40,0.282380974190214,0,0,0,0.1,0.1,0
41,-0.97864062052609,0,1,0,0.1,0.1,0
42,0.0642084027273336,0,0,1,0.1,0.1,0
43,0.263157542368139,0,0,1,0.1,0.1,0
44,0.790312231034701,1,1,0,0.1,0.06,-0.04
45,1.64045145795521,1,1,0,0.1,0.06,-0.04
46,0.00985089365050169,0,1,0,0.1,0.1,0
47,-0.454994205369719,0,1,0,0.1,0.1,0
48,-0.60415155479276,0,1,0,0.1,0.1,0
49,0.37751524246454,0,0,0,0.1,0.1,0
50,-1.28801083762167,0,0,0,0.1,0.1,0
51,-0.00603834327921938,0,1,0,0.1,0.1,0
52,-1.05348160413592,0,0,0,0.1,0.1,0
53,1.38524444789812,1,1,0,0.1,0.06,-0.04
54,1.33548694223022,1,0,0,0.1,0.06,-0.04
55,-1.01570375899615,0,0,1,0.1,0.1,0
56,-1.2909597202857,0,0,0,0.1,0.1,0
57,1.02069649466395,1,0,0,0.1,0.06,-0.04
58,1.01051205279245,1,1,0,0.1,0.06,-0.04
59,-0.673463269853816,0,0,0,0.1,0.1,0
60,-0.892618477540262,0,0,0,0.1,0.1,0
61,-1.69034659396653,0,0,1,0.1,0.1,0
62,-1.60823351442929,0,0,0,0.1,0.1,0
63,-0.379884252448872,0,1,0,0.1,0.1,0
64,1.04873012190244,1,0,0,0.1,0.06,-0.04
65,-2.22851174071261,0,1,0,0.1,0.1,0
66,-0.532612933298974,0,1,0,0.1,0.1,0
67,2.44943991673464,1,0,1,0.1,0.06,-0.04
68,-1.69522099655328,0,0,0,0.1,0.1,0
69,0.393308801324064,0,1,1,0.1,0.1,0
70,0.616015933051274,0,0,0,0.1,0.1,0
71,-0.765138200966328,0,0,0,0.1,0.1,0
72,-0.352375686634669,0,0,0,0.1,0.1,0
73,0.798593142073584,1,1,0,0.1,0.06,-0.04
74,-1.19300998274161,0,1,0,0.1,0.1,0
75,-0.465032662192218,0,0,0,0.1,0.1,0
76,0.126345743933972,0,0,0,0.1,0.1,0
77,0.0351917831219392,0,0,0,0.1,0.1,0
78,0.485354614343119,0,1,0,0.1,0.1,0
79,1.33364112577754,1,0,0,0.1,0.06,-0.04
80,0.31945719181469,0,1,0,0.1,0.1,0
81,-0.232282846675345,0,0,0,0.1,0.1,0
82,-0.273945813825714,0,1,0,0.1,0.1,0
83,-1.0961234522868,0,0,0,0.1,0.1,0
84,1.06957168216173,1,1,0,0.1,0.06,-0.04
85,1.69248321581235,1,0,0,0.1,0.06,-0.04
86,0.314791660031426,0,1,0,0.1,0.1,0
87,-0.345560513126369,0,0,0,0.1,0.1,0
88,-1.97608128560327,0,0,0,0.1,0.1,0
89,-0.181817801836809,0,1,0,0.1,0.1,0
90,0.220773625364576,0,0,0,0.1,0.1,0
91,0.699727437203745,1,1,0,0.1,0.06,-0.04
92,0.543871901127066,0,1,1,0.1,0.1,0
93,1.46316397210225,1,1,0,0.1,0.06,-0.04
94,-0.456892478020473,0,0,0,0.1,0.1,0
95,0.000404417852525588,0,1,0,0.1,0.1,0
96,-0.154580171888322,0,1,0,0.1,0.1,0
97,-0.355124624679305,0,0,0,0.1,0.1,0
98,-1.54861641584321,0,0,0,0.1,0.1,0
99,0.717170639709624,1,0,0,0.1,0.06,-0.04
100,0.965463294368595,1,0,0,0.1,0.06,-0.04
101,0.256912662789411,0,0,0,0.1,0.1,0
102,0.892158919117903,1,0,0,0.1,0.06,-0.04
103,0.479294049718996,0,0,0,0.1,0.1,0
104,0.906809820956137,1,1,0,0.1,0.06,-0.04
