"id","X","treatment","outcome","estimated_control_probability","estimated_treatment_probability","estimated_CATE","cate_se","cate_lower","cate_upper","true_CATE","CATE_error"
1,-0.9653464644216,1,0,0.0945393842174101,0.0847306119098035,-0.00980877230760667,0.0177186169025545,-0.0445366232924762,0.0249190786772628,-0.0148218074028074,0.00501303509520073
2,0.0866711759008467,1,1,0.109017003651746,0.0685270811989079,-0.0404899224528382,0.00908008197886851,-0.0582865561080916,-0.0226932887975847,-0.0389443397368546,-0.00154558271598355
3,0.968292574863881,1,0,0.12261406637324,0.0572100267715341,-0.0654040396017057,0.0175858758241929,-0.0998717228537173,-0.0309363563496941,-0.0611826739681921,-0.00422136563351359
4,0.398720265366137,1,0,0.113671404865525,0.0643021050562697,-0.0493692998092551,0.0108801984410608,-0.0706940968983831,-0.0280445027201271,-0.0465898448823108,-0.0027794549269443
5,-0.27836077241227,0,1,0.103785366547211,0.0737951344968909,-0.0299902320503205,0.00997319549106284,-0.0495373360235809,-0.0104431280770601,-0.0302958731164286,0.000305641066108097
6,0.028959340415895,0,1,0.108174742192222,0.0693361414616103,-0.0388386007306114,0.00899448344305082,-0.0564674643385328,-0.02120973712269,-0.037556231783552,-0.00128236894705941
7,-0.464323872234672,0,0,0.101206403712401,0.0766200540861915,-0.0245863496262097,0.0115343139457259,-0.0471931895462106,-0.00197950970620882,-0.0260068893609759,0.00142053973476621
8,0.618398394435644,0,0,0.117051129134716,0.0614746190878209,-0.0555765100468951,0.0131205216765215,-0.0812922599912543,-0.029860760102536,-0.0521180698390441,-0.00345844020785103
9,-0.552164207678288,0,0,0.10000810782529,0.077988622379315,-0.0220194854459755,0.012448551100043,-0.0464181972617662,0.00237922636981526,-0.0240074651098395,0.00198797966386404
10,0.754812878090888,0,0,0.119193458396339,0.0597777314659902,-0.0594157269303487,0.0147599012135944,-0.0883446017243628,-0.0304868521363347,-0.0556135861288213,-0.00380214080152744
11,-0.767969824839383,0,0,0.0971175655606525,0.0814463876093695,-0.0156711779512831,0.0150370104621384,-0.0451431768922263,0.0138008209896602,-0.0191654821219616,0.00349430417067854
12,-0.588875606190413,0,1,0.099511047322284,0.078567196409188,-0.020943850913096,0.0128574391973942,-0.0461439686734022,0.00425626684721024,-0.0231767877850441,0.00223293687194813
13,0.640345737338066,0,1,0.117393533579302,0.0611986048159507,-0.0561949287633509,0.0133735896073987,-0.0824066827378714,-0.0299831747888304,-0.0526771782355645,-0.00351775052778643
