"id","X","treatment","outcome","p_control","p_treatment","true_CATE"
1,-0.9653464644216,1,0,0.0839158381644809,0.0690940307616735,-0.0148218074028074
2,0.0866711759008467,1,1,0.101570934207987,0.0626265944711323,-0.0389443397368546
3,0.968292574863881,1,0,0.118829016488619,0.0576463425204265,-0.0611826739681921
4,0.398720265366137,1,0,0.107409380376937,0.0608195354946261,-0.0465898448823108
5,-0.27836077241227,0,1,0.0950998914823393,0.0648040183659107,-0.0302958731164286
6,0.028959340415895,0,1,0.100522477114323,0.0629662453307707,-0.037556231783552
7,-0.464323872234672,0,0,0.0919470894264558,0.0659402000654799,-0.0260068893609759
8,0.618398394435644,0,0,0.111694832490657,0.0595767626516132,-0.0521180698390441
9,-0.552164207678288,0,0,0.0904907593759098,0.0664832942660703,-0.0240074651098395
10,0.754812878090888,0,0,0.114430630455372,0.0588170443265507,-0.0556135861288213
11,-0.767969824839383,0,0,0.0870007323277186,0.067835250205757,-0.0191654821219616
12,-0.588875606190413,0,1,0.0898882879131051,0.066711500128061,-0.0231767877850441
13,0.640345737338066,0,1,0.112131094486763,0.0594539162511984,-0.0526771782355645
14,-0.463702356442809,1,0,0.0919574683743836,0.0659363721230855,-0.0260210962512981
15,0.431574281770736,0,0,0.108040967398974,0.0606321422012226,-0.0474088251977515
16,0.420704870950431,0,0,0.10783165290237,0.0606940794661665,-0.0471375734362032
17,-0.995623252820224,0,0,0.0834515100894705,0.0692890254528113,-0.0141624846366592
18,-0.0748939625918865,1,0,0.09865996258492,0.0635817836039773,-0.0350781789809428
19,-0.581612970679998,0,0,0.0900071876149294,0.0666662964047705,-0.0233408912101589
20,-0.415652478579432,0,0,0.0927630665295733,0.065641055351739,-0.0271220111778343
21,0.158592423889786,1,0,0.102891101795695,0.0622057101177618,-0.0406853916779333
22,0.910379798151553,1,0,0.117621566702233,0.0579617506258926,-0.0596598160763403
23,0.391524084843695,0,0,0.107271475006395,0.0608606534449143,-0.0464108215614809
24,-0.283630257938057,0,0,0.0950092361093392,0.0648359611216686,-0.0301732749876706
25,0.678127151913941,1,0,0.112885588442568,0.0592429971138004,-0.0536425913287676
26,-0.362405060324818,0,1,0.0936632018834578,0.0653152310027531,-0.0283479708807047
27,0.695579457562417,1,0,0.113235604298964,0.0591458045046991,-0.0540897997942651
28,-0.934957150369883,0,0,0.0843842507372251,0.0688988223293301,-0.015485428407895
29,0.998955079820007,1,0,0.119472645065582,0.0574799996059846,-0.061992645459597
30,-0.340037945657969,1,0,0.0940436434751698,0.0651788143552578,-0.0288648291199119
31,-0.307371315546334,0,0,0.0946017574412541,0.0649800573194543,-0.0296217001217998
32,-0.145467389374971,0,0,0.0974118884102904,0.0640032681236332,-0.0334086202866572
33,0.230454464443028,0,0,0.104225332104021,0.0617878111117591,-0.0424375209922616
34,0.703334158286452,0,0,0.11339143276267,0.0591026662229279,-0.0542887665397418
35,0.0555762038566172,0,0,0.101004828890027,0.0628093844117476,-0.0381954444782798
36,0.50343030737713,0,0,0.109433714640567,0.0602241696192316,-0.0492095450213357
37,0.644876330625266,1,0,0.112221337297357,0.0594285866155648,-0.0527927506817917
38,-0.346054788678885,1,0,0.0939411672216418,0.0652154848954234,-0.0287256823262183
39,-0.794217351358384,1,0,0.086584658716983,0.068001411226557,-0.018583247490426
40,0.541791630443186,1,0,0.110183681645022,0.0600074211277166,-0.0501762605173056
41,-0.571303462143987,0,0,0.0901762123448576,0.0666021773330853,-0.0235740350117723
42,-0.592267777770758,1,0,0.0898328017385832,0.0667326232577284,-0.0231001784808548
43,0.778677905909717,1,0,0.114915199839311,0.0586850722749954,-0.0562301275643152
44,0.498997905291617,0,0,0.10934734996034,0.0602492606728864,-0.0490980892874539
45,-0.586354333441705,0,0,0.0899295486946311,0.0666958041274438,-0.0232337445671873
46,-0.721343681681901,0,0,0.087744308560073,0.0675410096147998,-0.0202032989452732
