"replicate","scenario","previous_n","current_n","information_fraction","previous_harm_fraction","current_harm_fraction","harm_fraction_change","jaccard_similarity","fraction_newly_harmed","fraction_no_longer_harmed","mean_absolute_CATE_change"
1,"A_threshold",1000,1600,0.4,0.47,0.543,0.0730000000000001,0.865561694290976,0.073,0,0.00743925608857072
1,"A_threshold",1600,2200,0.55,0.544375,0.403125,-0.14125,0.74052812858783,0,0.14125,0.0124464414234893
1,"A_threshold",2200,2800,0.7,0.405,0.267727272727273,-0.137272727272727,0.661054994388328,0,0.137272727272727,0.0149323330444813
1,"A_threshold",2800,3400,0.85,0.268571428571429,0.222142857142857,-0.0464285714285714,0.827127659574468,0,0.0464285714285714,0.00526691252508019
1,"A_threshold",3400,4000,1,0.224117647058824,0.222058823529412,-0.00205882352941178,0.990813648293963,0,0.00205882352941176,0.00094311471962395
1,"B_smooth_logistic",1000,1600,0.4,1,1,0,1,0,0,0.00734989601541332
1,"B_smooth_logistic",1600,2200,0.55,1,1,0,1,0,0,0.00834322357664161
1,"B_smooth_logistic",2200,2800,0.7,1,0.869090909090909,-0.130909090909091,0.869090909090909,0,0.130909090909091,0.00559503283093845
1,"B_smooth_logistic",2800,3400,0.85,0.871785714285714,0.8525,-0.0192857142857142,0.977877918885703,0,0.0192857142857143,0.00197414601239248
1,"B_smooth_logistic",3400,4000,1,0.850882352941176,0.813235294117647,-0.0376470588235294,0.955755271344625,0,0.0376470588235294,0.00571483764503462
2,"A_threshold",1000,1600,0.4,0.181,0.341,0.16,0.530791788856305,0.16,0,0.00617167932134074
2,"A_threshold",1600,2200,0.55,0.3425,0.33375,-0.00875000000000004,0.974452554744526,0,0.00875,0.000565676678404297
2,"A_threshold",2200,2800,0.7,0.334090909090909,0.323181818181818,-0.0109090909090909,0.96734693877551,0,0.0109090909090909,0.00454788891095872
2,"A_threshold",2800,3400,0.85,0.323214285714286,0.234642857142857,-0.0885714285714286,0.725966850828729,0,0.0885714285714286,0.0045609979126617
2,"A_threshold",3400,4000,1,0.235,0.133235294117647,-0.101764705882353,0.566958698372966,0,0.101764705882353,0.00524467714699639
2,"B_smooth_logistic",1000,1600,0.4,0.991,1,0.00900000000000001,0.991,0.009,0,0.0130108651472449
2,"B_smooth_logistic",1600,2200,0.55,1,1,0,1,0,0,0.00234020514363988
2,"B_smooth_logistic",2200,2800,0.7,1,1,0,1,0,0,0.00687874068211519
2,"B_smooth_logistic",2800,3400,0.85,1,0.990714285714286,-0.00928571428571423,0.990714285714286,0,0.00928571428571429,0.00810948592929996
2,"B_smooth_logistic",3400,4000,1,0.989705882352941,1,0.0102941176470588,0.989705882352941,0.0102941176470588,0,0.00579662785580009
3,"A_threshold",1000,1600,0.4,0.833,0.749,-0.084,0.899159663865546,0,0.084,0.0176187021874941
3,"A_threshold",1600,2200,0.55,0.755625,0.603125,-0.1525,0.798180314309347,0,0.1525,0.00859557269261682
3,"A_threshold",2200,2800,0.7,0.597727272727273,0.379545454545455,-0.218181818181818,0.634980988593156,0,0.218181818181818,0.0126573065559877
3,"A_threshold",2800,3400,0.85,0.382142857142857,0.333214285714286,-0.0489285714285714,0.87196261682243,0,0.0489285714285714,0.00434271735420009
3,"A_threshold",3400,4000,1,0.331764705882353,0.356470588235294,0.0247058823529411,0.930693069306931,0.0247058823529412,0,0.000882391123702095
3,"B_smooth_logistic",1000,1600,0.4,0.973,1,0.027,0.973,0.027,0,0.0319650348752741
3,"B_smooth_logistic",1600,2200,0.55,1,0.97,-0.03,0.97,0,0.03,0.00392463123275598
3,"B_smooth_logistic",2200,2800,0.7,0.968636363636364,0.788636363636364,-0.18,0.814171750351947,0,0.18,0.0102000424298816
3,"B_smooth_logistic",2800,3400,0.85,0.783214285714286,0.897142857142857,0.113928571428571,0.873009554140127,0.113928571428571,0,0.0033273374877572
3,"B_smooth_logistic",3400,4000,1,0.894411764705882,1,0.105588235294118,0.894411764705882,0.105588235294118,0,0.00670631995789955
4,"A_threshold",1000,1600,0.4,0,0,0,1,0,0,0.00594919262397894
4,"A_threshold",1600,2200,0.55,0,0,0,1,0,0,0.00819842189901716
4,"A_threshold",2200,2800,0.7,0,0.000909090909090909,0.000909090909090909,0,0.000909090909090909,0,0.00429362350513757
4,"A_threshold",2800,3400,0.85,0.000714285714285714,0.154642857142857,0.153928571428571,0.0046189376443418,0.153928571428571,0,0.00599410289542955
4,"A_threshold",3400,4000,1,0.153529411764706,0.0773529411764706,-0.0761764705882353,0.503831417624521,0,0.0761764705882353,0.00602130254132836
4,"B_smooth_logistic",1000,1600,0.4,0.536,0.632,0.096,0.848101265822785,0.096,0,0.00845995511368347
4,"B_smooth_logistic",1600,2200,0.55,0.618125,0.55,-0.068125,0.889787664307381,0,0.068125,0.0116516313047026
